N,k,a_k
10,1,1.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,-0.12195121951219512
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.21951219512195122
10,10,0.0
20,1,1.197449086685407
20,2,-0.7619109758378534
20,3,-0.2541099681603803
20,4,0.7859583267711446
20,5,0.02647601575150784
20,6,-0.11567462562937378
20,7,0.4717911383372646
20,8,-0.403457119786256
20,9,0.12645199687243744
20,10,-0.08508482853506645
20,11,0.12978231301973092
20,12,0.38789619651389634
20,13,-0.10223257179010234
20,14,0.3599171799182282
20,15,-0.21622874242731932
20,16,-0.10497792377183068
20,17,-0.14292294025422833
20,18,0.19822003975997324
20,19,0.12191950231071773
20,20,0.26365740617071076
